SiteId,SiteName,SiteUrl,PageUrl,PageTitle,Depth,InternalLinksDiscovered,EmbedCount,CrawlStatus
1S6gYmhawxcaI4CHH5Bjy6gZqYM1QNFY9,migra site,https://sites.google.com/d/1S6gYmhawxcaI4CHH5Bjy6gZqYM1QNFY9/edit,https://sites.google.com/d/1S6gYmhawxcaI4CHH5Bjy6gZqYM1QNFY9/edit,Google Drive: Sign-in,0,0,1,Success
1oxjUJjEqor9tmRp7PIQqdlwwHhgLpHg2,Copy of Roche Template,https://sites.google.com/d/1oxjUJjEqor9tmRp7PIQqdlwwHhgLpHg2/edit,https://sites.google.com/d/1oxjUJjEqor9tmRp7PIQqdlwwHhgLpHg2/edit,Google Drive: Sign-in,0,0,1,Success
1OWMDwh70yVe-th5cUfK7jwtH1jKxByXO,Roche Template,https://sites.google.com/d/1OWMDwh70yVe-th5cUfK7jwtH1jKxByXO/edit,https://sites.google.com/d/1OWMDwh70yVe-th5cUfK7jwtH1jKxByXO/edit,Google Drive: Sign-in,0,0,1,Success
1lXk3Ymt7BDFhGxgmg3Gw6vKjI2gI5npe,Test gSite for the GAM PROD assessment,https://sites.google.com/d/1lXk3Ymt7BDFhGxgmg3Gw6vKjI2gI5npe/edit,https://sites.google.com/d/1lXk3Ymt7BDFhGxgmg3Gw6vKjI2gI5npe/edit,Google Drive: Sign-in,0,0,1,Success
1rQwva6fQ8xk3-34jlSA-8dmHizIEfpVm,Help Center,https://sites.google.com/d/1rQwva6fQ8xk3-34jlSA-8dmHizIEfpVm/edit,https://sites.google.com/d/1rQwva6fQ8xk3-34jlSA-8dmHizIEfpVm/edit,Google Drive: Sign-in,0,0,1,Success
1cd00qAHSWCcM2jUTk5Tfv_IQpoObTgsX,Copy of ITO LT Operational Meeting,https://sites.google.com/d/1cd00qAHSWCcM2jUTk5Tfv_IQpoObTgsX/edit,https://sites.google.com/d/1cd00qAHSWCcM2jUTk5Tfv_IQpoObTgsX/edit,Google Drive: Sign-in,0,0,1,Success
1aJ_W44lVXpIYuFnE8BexhJeP5eMbsIIu,Portal,https://sites.google.com/d/1aJ_W44lVXpIYuFnE8BexhJeP5eMbsIIu/edit,https://sites.google.com/d/1aJ_W44lVXpIYuFnE8BexhJeP5eMbsIIu/edit,Google Drive: Sign-in,0,0,1,Success
1FO3SOFS18ww9j2zsGBCn5gOJQRm6mifC,Event,https://sites.google.com/d/1FO3SOFS18ww9j2zsGBCn5gOJQRm6mifC/edit,https://sites.google.com/d/1FO3SOFS18ww9j2zsGBCn5gOJQRm6mifC/edit,Google Drive: Sign-in,0,0,1,Success
1zqVbQrCCQAsarfawR5sAInsNHT7uPHCF,Untitled site,https://sites.google.com/d/1zqVbQrCCQAsarfawR5sAInsNHT7uPHCF/edit,https://sites.google.com/d/1zqVbQrCCQAsarfawR5sAInsNHT7uPHCF/edit,Google Drive: Sign-in,0,0,1,Success
1tYPnPTlXMuk2L-tiuGK58Drq9NGJZ7zp,Untitled Site,https://sites.google.com/d/1tYPnPTlXMuk2L-tiuGK58Drq9NGJZ7zp/edit,https://sites.google.com/d/1tYPnPTlXMuk2L-tiuGK58Drq9NGJZ7zp/edit,Google Drive: Sign-in,0,0,1,Success
1_XAcjt2Lv6NkfmMtnJlhH7yzgAaI-tNr,test site Juan,https://sites.google.com/d/1_XAcjt2Lv6NkfmMtnJlhH7yzgAaI-tNr/edit,https://sites.google.com/d/1_XAcjt2Lv6NkfmMtnJlhH7yzgAaI-tNr/edit,Google Drive: Sign-in,0,0,1,Success
1tfEv9-z4EKjSYs8rt5EC_8izgl0stejg,SMTP relay security enhancement,https://sites.google.com/d/1tfEv9-z4EKjSYs8rt5EC_8izgl0stejg/edit,https://sites.google.com/d/1tfEv9-z4EKjSYs8rt5EC_8izgl0stejg/edit,Google Drive: Sign-in,0,0,1,Success
14thQmzUnNSZLQeF0Q-y9njqnel_At0oA,Copy of testing new site loc,https://sites.google.com/d/14thQmzUnNSZLQeF0Q-y9njqnel_At0oA/edit,https://sites.google.com/d/14thQmzUnNSZLQeF0Q-y9njqnel_At0oA/edit,Google Drive: Sign-in,0,0,1,Success
1HCFVXtrKeoFi8nDt-nxN5fr7aVrf2JP6,testing new site loc,https://sites.google.com/d/1HCFVXtrKeoFi8nDt-nxN5fr7aVrf2JP6/edit,https://sites.google.com/d/1HCFVXtrKeoFi8nDt-nxN5fr7aVrf2JP6/edit,Google Drive: Sign-in,0,0,1,Success
1Xm-JdvtzHLSNtNZ7ZNg2hnwt0USiXE_q,tSquad Global,https://sites.google.com/d/1Xm-JdvtzHLSNtNZ7ZNg2hnwt0USiXE_q/edit,https://sites.google.com/d/1Xm-JdvtzHLSNtNZ7ZNg2hnwt0USiXE_q/edit,Google Drive: Sign-in,0,0,1,Success
12CCwYguSgmYIsLSoRldO-5GhGoF5p_Pp,Identity or Messaging,https://sites.google.com/d/12CCwYguSgmYIsLSoRldO-5GhGoF5p_Pp/edit,https://sites.google.com/d/12CCwYguSgmYIsLSoRldO-5GhGoF5p_Pp/edit,Google Drive: Sign-in,0,0,1,Success
1HFDvQYF-L2qK3EjDxFVGqzimDE5WtQeE,Test1,https://sites.google.com/d/1HFDvQYF-L2qK3EjDxFVGqzimDE5WtQeE/edit,https://sites.google.com/d/1HFDvQYF-L2qK3EjDxFVGqzimDE5WtQeE/edit,Google Drive: Sign-in,0,0,1,Success
1821RsAfgp82ikNWsWMERw9ndPXwzNUwS,Untitled site,https://sites.google.com/d/1821RsAfgp82ikNWsWMERw9ndPXwzNUwS/edit,https://sites.google.com/d/1821RsAfgp82ikNWsWMERw9ndPXwzNUwS/edit,Google Drive: Sign-in,0,0,1,Success
1kklJGzUlgX7CTn48myCnBxvg2eE4ruGJ,Google issues,https://sites.google.com/d/1kklJGzUlgX7CTn48myCnBxvg2eE4ruGJ/edit,https://sites.google.com/d/1kklJGzUlgX7CTn48myCnBxvg2eE4ruGJ/edit,Google Drive: Sign-in,0,0,1,Success
1kMqORkIZLuzZ9BQ_n1ASrWSdbI7pG8fL,DWO Managed Service,https://sites.google.com/d/1kMqORkIZLuzZ9BQ_n1ASrWSdbI7pG8fL/edit,https://sites.google.com/d/1kMqORkIZLuzZ9BQ_n1ASrWSdbI7pG8fL/edit,Google Drive: Sign-in,0,0,1,Success
1IQ1MNEJXYIbXMEGoBTkgiDlKhOKUxLyL,cloudm.roche.com,https://sites.google.com/d/1IQ1MNEJXYIbXMEGoBTkgiDlKhOKUxLyL/edit,https://sites.google.com/d/1IQ1MNEJXYIbXMEGoBTkgiDlKhOKUxLyL/edit,Google Drive: Sign-in,0,0,1,Success
1pN8xJKreJJcxbcw4UhlOKWd18GUvogGM,Open_Madrid,https://sites.google.com/d/1pN8xJKreJJcxbcw4UhlOKWd18GUvogGM/edit,https://sites.google.com/d/1pN8xJKreJJcxbcw4UhlOKWd18GUvogGM/edit,Google Drive: Sign-in,0,0,1,Success
1sjWkhnVkcyCzBsQa-GClLApr1EeVBDu7,GMC public tools,https://sites.google.com/d/1sjWkhnVkcyCzBsQa-GClLApr1EeVBDu7/edit,https://sites.google.com/d/1sjWkhnVkcyCzBsQa-GClLApr1EeVBDu7/edit,Google Drive: Sign-in,0,0,1,Success
1pS83LXSpB9gybcooY0i8LwnDOy7MsDeq,GMCBot,https://sites.google.com/d/1pS83LXSpB9gybcooY0i8LwnDOy7MsDeq/edit,https://sites.google.com/d/1pS83LXSpB9gybcooY0i8LwnDOy7MsDeq/edit,Google Drive: Sign-in,0,0,1,Success
1pRaDug4tNCH5eNnpx7npV0t0U0Zavwxt,MessagingPrototype0.1 — Converted from Classic Sites,https://sites.google.com/d/1pRaDug4tNCH5eNnpx7npV0t0U0Zavwxt/edit,https://sites.google.com/d/1pRaDug4tNCH5eNnpx7npV0t0U0Zavwxt/edit,Google Drive: Sign-in,0,0,1,Success
1FMxzh0Bf32DTxu4bMPf54kNmo0XFHjxb,testpushnotifiers,https://sites.google.com/d/1FMxzh0Bf32DTxu4bMPf54kNmo0XFHjxb/edit,https://sites.google.com/d/1FMxzh0Bf32DTxu4bMPf54kNmo0XFHjxb/edit,Google Drive: Sign-in,0,0,1,Success
