"SiteId","SiteName","SiteUrl","PageCount","MaxDepth","ErrorPages","EmbedCount","PagesWithEmbeds","ExternalDomainCount","PermissionRows","PublicPermissionRows","DomainPermissionRows","GroupPermissionRows","UserPermissionRows","ExternalPrincipalRows","StructurePoints","EmbedPoints","SecurityPoints","TotalScore","Rating","Recommendation"
"1Fv9dassf3JU2Jf7zRT0oApdSI9ZFRVQM","Messaging, Realtime & Web conferencing Releases — Converted from Classic Sites","https://sites.google.com/d/1Fv9dassf3JU2Jf7zRT0oApdSI9ZFRVQM/edit","1","0","0","1","1","4","4","0","1","1","2","0","1","11","1","13","Low","Direct migration candidate"
"1rvJHO3hpqVWTNvlZquWRstLAACRAy26E","Boost Your Talent","https://sites.google.com/d/1rvJHO3hpqVWTNvlZquWRstLAACRAy26E/edit","1","0","0","1","1","4","6","0","0","0","6","0","1","11","0","12","Low","Direct migration candidate"
"1usWcyZHBMzl7hjHEcFg9De0H4a5tImzb","Test New Sites Fernando","https://sites.google.com/d/1usWcyZHBMzl7hjHEcFg9De0H4a5tImzb/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1NYrddo5DHf9MACaQ7gF-YP3yKr7a7G4m","Test para convertir a nuevo gsites — Converted from Classic Sites","https://sites.google.com/d/1NYrddo5DHf9MACaQ7gF-YP3yKr7a7G4m/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1Mrj-t_XnnHXAVABFR0dnGICrwifnoMK9","Copy of DME site","https://sites.google.com/d/1Mrj-t_XnnHXAVABFR0dnGICrwifnoMK9/edit","1","0","0","1","1","4","4","0","0","0","4","0","1","11","0","12","Low","Direct migration candidate"
"1qL_D0qQMy-qmEikW0rIe_fKss6ClEyJP","Copy of Informatics Campus","https://sites.google.com/d/1qL_D0qQMy-qmEikW0rIe_fKss6ClEyJP/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1EBRyipto9CBZ42b3eat7GTe5VRrMU37-","asdfasite","https://sites.google.com/d/1EBRyipto9CBZ42b3eat7GTe5VRrMU37-/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1wmusANhQYxTl7zpASD5kml63rBcCfpva","Drag & Drop - solution presentation","https://sites.google.com/d/1wmusANhQYxTl7zpASD5kml63rBcCfpva/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"17yjYlnomW0KNA7yOtziLyt1U6OEnaLKG","G Suite Factory | Collection of ""Notebooks""","https://sites.google.com/d/17yjYlnomW0KNA7yOtziLyt1U6OEnaLKG/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1OiQSCw61gZh1PZqlslzaX179nAbnRWoV","Project","https://sites.google.com/d/1OiQSCw61gZh1PZqlslzaX179nAbnRWoV/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
